ID,Dataset,Normalisation,validation_fold,Channels,Learning_rate,Loss,Status,datafile
bigart_0,Oxytarget,Z-Score,1,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_1,Oxytarget,Z-Score,2,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_2,Oxytarget,Z-Score,3,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_3,Oxytarget,Z-Score,4,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_4,Oxytarget,Z-Score,5,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_5,Oxytarget,Z-Score + HM,1,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_6,Oxytarget,Z-Score + HM,2,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_7,Oxytarget,Z-Score + HM,3,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_8,Oxytarget,Z-Score + HM,4,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_9,Oxytarget,Z-Score + HM,5,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_10,Oxytarget,Z-Score,1,T2w + DW,1.00E-04,ModifiedDiceLoss,1,
bigart_11,Oxytarget,Z-Score,2,T2w + DW,1.00E-04,ModifiedDiceLoss,1,
bigart_12,Oxytarget,Z-Score,3,T2w + DW,1.00E-04,ModifiedDiceLoss,1,
bigart_13,Oxytarget,Z-Score,4,T2w + DW,1.00E-04,ModifiedDiceLoss,1,
bigart_14,Oxytarget,Z-Score,5,T2w + DW,1.00E-04,ModifiedDiceLoss,1,
bigart_15,Oxytarget,Z-Score + HM,1,T2w + DW,1.00E-04,ModifiedDiceLoss,1,
bigart_16,Oxytarget,Z-Score + HM,2,T2w + DW,1.00E-04,ModifiedDiceLoss,1,
bigart_17,Oxytarget,Z-Score + HM,3,T2w + DW,1.00E-04,ModifiedDiceLoss,1,
bigart_18,Oxytarget,Z-Score + HM,4,T2w + DW,1.00E-04,ModifiedDiceLoss,1,
bigart_19,Oxytarget,Z-Score + HM,5,T2w + DW,1.00E-04,ModifiedDiceLoss,1,
bigart_20,Oxytarget,Z-Score,1,T2w,1.00E-05,ModifiedDiceLoss,1,
bigart_21,Oxytarget,Z-Score,2,T2w,1.00E-05,ModifiedDiceLoss,1,
bigart_22,Oxytarget,Z-Score,3,T2w,1.00E-05,ModifiedDiceLoss,1,
bigart_23,Oxytarget,Z-Score,4,T2w,1.00E-05,ModifiedDiceLoss,1,
bigart_24,Oxytarget,Z-Score,5,T2w,1.00E-05,ModifiedDiceLoss,1,
bigart_25,Oxytarget,Z-Score + HM,1,T2w,1.00E-05,ModifiedDiceLoss,1,
bigart_26,Oxytarget,Z-Score + HM,2,T2w,1.00E-05,ModifiedDiceLoss,1,
bigart_27,Oxytarget,Z-Score + HM,3,T2w,1.00E-05,ModifiedDiceLoss,1,
bigart_28,Oxytarget,Z-Score + HM,4,T2w,1.00E-05,ModifiedDiceLoss,1,
bigart_29,Oxytarget,Z-Score + HM,5,T2w,1.00E-05,ModifiedDiceLoss,1,
bigart_30,Oxytarget,Z-Score,1,T2w + DW,1.00E-05,ModifiedDiceLoss,1,
bigart_31,Oxytarget,Z-Score,2,T2w + DW,1.00E-05,ModifiedDiceLoss,1,
bigart_32,Oxytarget,Z-Score,3,T2w + DW,1.00E-05,ModifiedDiceLoss,1,
bigart_33,Oxytarget,Z-Score,4,T2w + DW,1.00E-05,ModifiedDiceLoss,1,
bigart_34,Oxytarget,Z-Score,5,T2w + DW,1.00E-05,ModifiedDiceLoss,1,
bigart_35,Oxytarget,Z-Score + HM,1,T2w + DW,1.00E-05,ModifiedDiceLoss,1,
bigart_36,Oxytarget,Z-Score + HM,2,T2w + DW,1.00E-05,ModifiedDiceLoss,1,
bigart_37,Oxytarget,Z-Score + HM,3,T2w + DW,1.00E-05,ModifiedDiceLoss,1,
bigart_38,Oxytarget,Z-Score + HM,4,T2w + DW,1.00E-05,ModifiedDiceLoss,1,
bigart_39,Oxytarget,Z-Score + HM,5,T2w + DW,1.00E-05,ModifiedDiceLoss,1,
bigart_40,LARC,Z-Score,1,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_41,LARC,Z-Score,2,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_42,LARC,Z-Score,3,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_43,LARC,Z-Score,4,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_44,LARC,Z-Score,5,T2w,1.00E-04,ModifiedDiceLoss,1,
bigart_45,LARC,Z-Score + HM_onLARC,1,T2w,1.00E-04,ModifiedDiceLoss,,
bigart_46,LARC,Z-Score + HM_onLARC,2,T2w,1.00E-04,ModifiedDiceLoss,,
bigart_47,LARC,Z-Score + HM_onLARC,3,T2w,1.00E-04,ModifiedDiceLoss,,
bigart_48,LARC,Z-Score + HM_onLARC,4,T2w,1.00E-04,ModifiedDiceLoss,,
bigart_49,LARC,Z-Score + HM_onLARC,5,T2w,1.00E-04,ModifiedDiceLoss,,
bigart_50,LARC,Z-Score + HM_onOxy,1,T2w,1.00E-04,ModifiedDiceLoss,,
bigart_51,LARC,Z-Score + HM_onOxy,2,T2w,1.00E-04,ModifiedDiceLoss,,
bigart_52,LARC,Z-Score + HM_onOxy,3,T2w,1.00E-04,ModifiedDiceLoss,,
bigart_53,LARC,Z-Score + HM_onOxy,4,T2w,1.00E-04,ModifiedDiceLoss,,
bigart_54,LARC,Z-Score + HM_onOxy,5,T2w,1.00E-04,ModifiedDiceLoss,,
bigart_55,Oxytarget,Z-Score,1,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_56,Oxytarget,Z-Score,2,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_57,Oxytarget,Z-Score,3,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_58,Oxytarget,Z-Score,4,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_59,Oxytarget,Z-Score,5,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_60,Oxytarget,Z-Score + HM,1,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_61,Oxytarget,Z-Score + HM,2,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_62,Oxytarget,Z-Score + HM,3,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_63,Oxytarget,Z-Score + HM,4,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_64,Oxytarget,Z-Score + HM,5,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_65,Oxytarget,Z-Score,1,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_66,Oxytarget,Z-Score,2,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_67,Oxytarget,Z-Score,3,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_68,Oxytarget,Z-Score,4,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_69,Oxytarget,Z-Score,5,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_70,Oxytarget,Z-Score + HM,1,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_71,Oxytarget,Z-Score + HM,2,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_72,Oxytarget,Z-Score + HM,3,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_73,Oxytarget,Z-Score + HM,4,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_74,Oxytarget,Z-Score + HM,5,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_75,Oxytarget,Z-Score,1,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_76,Oxytarget,Z-Score,2,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_77,Oxytarget,Z-Score,3,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_78,Oxytarget,Z-Score,4,T2w,1.00E-05,BinaryFbetaLoss,,
